Postcode,Locality
3160,BELGRAVE HEIGHTS
3160,BELGRAVE SOUTH
3160,TECOMA
3161,CAULFIELD JUNCTION
3161,CAULFIELD NORTH
3162,CAULFIELD
3162,CAULFIELD SOUTH
3162,HOPETOUN GARDENS
3163,BOORAN ROAD PO
3163,CARNEGIE
3163,GLEN HUNTLY
3163,MURRUMBEENA
3164,DANDENONG SOUTH
3165,BENTLEIGH EAST
3165,COATESVILLE
3166,HUGHESDALE
3166,HUNTINGDALE
3166,OAKLEIGH
3166,OAKLEIGH EAST
3167,OAKLEIGH SOUTH
3168,CLAYTON
3168,NOTTING HILL
3169,CLARINDA
3169,CLAYTON SOUTH
3170,MULGRAVE
3170,WAVERLEY GARDENS
3171,SANDOWN VILLAGE
3171,SPRINGVALE
3172,DINGLEY VILLAGE
3172,SPRINGVALE SOUTH
3173,KEYSBOROUGH
3174,NOBLE PARK
3174,NOBLE PARK EAST
3174,NOBLE PARK NORTH
3175,BANGHOLME
3175,DANDENONG
3175,DANDENONG EAST
3175,DANDENONG NORTH
3175,DANDENONG SOUTH
3175,DUNEARN
3176,SCORESBY BC
3177,DOVETON
3177,EUMEMMERRING
3178,ROWVILLE
3179,SCORESBY
3180,KNOXFIELD
3181,PRAHRAN
3181,PRAHRAN EAST
3181,WINDSOR
3182,ST KILDA
3182,ST KILDA SOUTH
3182,ST KILDA WEST
3183,BALACLAVA
3183,ST KILDA EAST
3184,BRIGHTON ROAD
3184,ELWOOD
3185,ELSTERNWICK
3185,GARDENVALE
3185,RIPPONLEA
3186,BRIGHTON
3186,BRIGHTON NORTH
3186,DENDY
3186,WERE STREET PO
3187,BRIGHTON EAST
3187,NORTH ROAD
3188,HAMPTON
3188,HAMPTON EAST
3188,HAMPTON NORTH
3189,MOORABBIN
3189,MOORABBIN EAST
3189,WISHART
3190,HIGHETT
3191,SANDRINGHAM
3192,CHELTENHAM
3192,CHELTENHAM EAST
3192,CHELTENHAM NORTH
3192,SOUTHLAND CENTRE
3193,BEAUMARIS
3193,BLACK ROCK
3193,BLACK ROCK NORTH
3193,CROMER
3194,MENTONE
3194,MENTONE EAST
3194,MOORABBIN AIRPORT
3195,ASPENDALE
3195,ASPENDALE GARDENS
3195,BRAESIDE
3195,MORDIALLOC
3195,MORDIALLOC NORTH
3195,PARKDALE
3195,WATERWAYS
3196,BONBEACH
3196,CHELSEA
3196,CHELSEA HEIGHTS
3196,EDITHVALE
3197,CARRUM
3197,PATTERSON LAKES
3198,BELVEDERE PARK
3198,SEAFORD
3199,FRANKSTON
3199,FRANKSTON EAST
3199,FRANKSTON HEIGHTS
3199,FRANKSTON SOUTH
3199,KARINGAL
3199,KARINGAL CENTRE
3200,FRANKSTON NORTH
3200,PINES FOREST
3201,CARRUM DOWNS
3202,HEATHERTON
3204,BENTLEIGH
3204,MCKINNON
3204,ORMOND
3204,PATTERSON
3205,SOUTH MELBOURNE
3205,SOUTH MELBOURNE DC
3206,ALBERT PARK
3206,MIDDLE PARK
3207,GARDEN CITY
3207,PORT MELBOURNE
3211,LITTLE RIVER
3212,AVALON
3212,LARA
3212,POINT WILSON
3213,ANAKIE
3213,BATESFORD
3213,LOVELY BANKS
3213,MOORABOOL
3214,CORIO
3214,NORLANE
3214,NORTH SHORE
3215,BELL PARK
3215,BELL POST HILL
3215,DRUMCONDRA
3215,GEELONG NORTH
3215,HAMLYN HEIGHTS
3215,NORTH GEELONG
3215,RIPPLESIDE
3216,BELMONT
3216,FRESHWATER CREEK
3216,GROVEDALE
3216,GROVEDALE EAST
3216,HIGHTON
3216,MARSHALL
3216,MOUNT DUNEED
3216,WANDANA HEIGHTS
3216,WAURN PONDS
3217,ARMSTRONG CREEK
3217,CHARLEMONT
3217,DEAKIN UNIVERSITY
3217,FRESHWATER CREEK
3217,MOUNT DUNEED
3218,FYANSFORD
3218,GEELONG WEST
3218,HERNE HILL
3218,MANIFOLD HEIGHTS
3218,MURGHEBOLUC
3218,STONEHAVEN
3219,BREAKWATER
3219,EAST GEELONG
3219,NEWCOMB
3219,ST ALBANS PARK
3219,THOMSON
3219,WHITTINGTON
3220,BAREENA
3220,GEELONG
3220,NEWTOWN
3220,SOUTH GEELONG
3221,ANAKIE
3221,BARRABOOL
3221,BATESFORD
3221,BELLARINE
3221,CERES
3221,FYANSFORD
3221,GEELONG MC
3221,GNARWARRE
3221,GREY RIVER
3221,KENNETT RIVER
3221,LOVELY BANKS
3221,MOOLAP
3221,MOORABOOL
3221,MURGHEBOLUC
3221,SEPARATION CREEK
3221,STAUGHTON VALE
3221,STONEHAVEN
3221,SUGARLOAF
3221,WALLINGTON
3221,WONGARRA
3221,WYE RIVER
3222,CLIFTON SPRINGS
3222,CURLEWIS
3222,DRYSDALE
3222,MANNERIM
3222,MARCUS HILL
3222,WALLINGTON
3223,BELLARINE
3223,INDENTED HEAD
3223,PORTARLINGTON
3223,ST LEONARDS
3224,LEOPOLD
3224,MOOLAP
3225,POINT LONSDALE
3225,QUEENSCLIFF
3225,SWAN BAY
3225,SWAN ISLAND
3226,OCEAN GROVE
3227,BARWON HEADS
3227,BREAMLEA
3227,CONNEWARRE
3228,BELLBRAE
3228,BELLS BEACH
3228,JAN JUC
3228,TORQUAY
3230,ANGLESEA
3231,AIREYS INLET
3231,BIG HILL
3231,EASTERN VIEW
3231,FAIRHAVEN
3231,MOGGS CREEK
3232,BIG HILL
3232,LORNE
3233,APOLLO BAY
3233,CAPE OTWAY
3233,MARENGO
3233,PETTICOAT CREEK
3233,SKENES CREEK
3233,SKENES CREEK NORTH
3234,GREY RIVER
3234,KENNETT RIVER
3234,SEPARATION CREEK
3234,SUGARLOAF
3234,WONGARRA
3234,WYE RIVER
3235,BENWERRIN
3235,BOONAH
3235,DEANS MARSH
3235,PENNYROYAL
3236,FORREST
3236,MOUNT SABINE
3237,AIRE VALLEY
3237,BEECH FOREST
3237,FERGUSON
3237,GELLIBRAND LOWER
3237,WATTLE HILL
3237,WEEAPROINAH
3237,WYELANGTA
3237,YUULONG
3238,GLENAIRE
3238,HORDERN VALE
3238,JOHANNA
3238,LAVERS HILL
3239,CARLISLE RIVER
3239,CHAPPLE VALE
3239,GELLIBRAND
3239,KENNEDYS CREEK
3240,BUCKLEY
3240,GHERANG
3240,MODEWARRE
3240,MORIAC
3240,MOUNT MORIAC
3240,PARAPARAP
3241,BAMBRA
3241,OMBERSLEY
3241,WENSLEYDALE
3241,WINCHELSEA
3241,WINCHELSEA SOUTH
3241,WURDIBOLUC
3242,BIRREGURRA
3243,BARWON DOWNS
3243,GERANGAMETE
3243,MURROON
3243,WARNCOORT
3243,WHOOREL
3249,ALVIE
3249,BALINTORE
3249,BARONGAROOK
3249,BARONGAROOK WEST
3249,BARRAMUNGA
3249,CORAGULAC
3249,CORUNNUN
3249,DREEITE
3249,DREEITE SOUTH
3249,GERANGAMETE
3249,IRREWARRA
3249,IRREWILLIPE
3249,IRREWILLIPE EAST
3249,KAWARREN
3249,LARPENT
3249,NALANGIL
3249,ONDIT
3249,PIRRON YALLOCK
