"","Postcode","Locality","Average net tax 1","Percentage of total Average Tax paid","Average Salary 1","Percentage of Total State Income","Average Net Tax","Average Salary"
"113",3044,"PASCOE VALE",14606,0.157416651,57672,0.176880526,0.115133175,0.414233628
"114",3044,"PASCOE VALE SOUTH",14606,0.157416651,57672,0.176880526,0.115133175,0.414233628
"115",3045,"MELBOURNE AIRPORT",NA,NA,NA,NA,NA,NA
"116",3046,"GLENROY",11401,0.122874657,50550,0.15503729,0.069385366,0.314359837
"117",3046,"HADFIELD",11401,0.122874657,50550,0.15503729,0.069385366,0.314359837
"118",3046,"OAK PARK",11401,0.122874657,50550,0.15503729,0.069385366,0.314359837
"119",3047,"BROADMEADOWS",7823,0.084312643,41449,0.127124444,0.018313397,0.186733978
"120",3047,"DALLAS",7823,0.084312643,41449,0.127124444,0.018313397,0.186733978
"121",3047,"JACANA",7823,0.084312643,41449,0.127124444,0.018313397,0.186733978
"122",3048,"COOLAROO",7806,0.084129425,41250,0.126514109,0.018070741,0.183943346
"123",3048,"MEADOW HEIGHTS",7806,0.084129425,41250,0.126514109,0.018070741,0.183943346
"124",3049,"ATTWOOD",12209,0.131582904,52873,0.162161952,0.080918667,0.346935914
"125",3049,"WESTMEADOWS",12209,0.131582904,52873,0.162161952,0.080918667,0.346935914
"126",3050,"ROYAL MELBOURNE HOSPITAL",NA,NA,NA,NA,NA,NA
"127",3051,"HOTHAM HILL",17434,0.187895515,54613,0.167498547,0.155499729,0.371336418
"128",3051,"NORTH MELBOURNE",17434,0.187895515,54613,0.167498547,0.155499729,0.371336418
"129",3052,"MELBOURNE UNIVERSITY",21095,0.227352065,56061,0.171939575,0.20775643,0.391642126
"130",3052,"PARKVILLE",21095,0.227352065,56061,0.171939575,0.20775643,0.391642126
"131",3053,"CARLTON",18408,0.198392833,50254,0.154129456,0.169402495,0.310208947
"132",3053,"CARLTON SOUTH",18408,0.198392833,50254,0.154129456,0.169402495,0.310208947
"133",3054,"CARLTON NORTH",24618,0.265321314,63655,0.19523044,0.258043336,0.498134904
"134",3054,"PRINCES HILL",24618,0.265321314,63655,0.19523044,0.258043336,0.498134904
"135",3055,"BRUNSWICK SOUTH",14866,0.16021881,55541,0.170344731,0.118844386,0.384350021
"136",3055,"BRUNSWICK WEST",14866,0.16021881,55541,0.170344731,0.118844386,0.384350021
"137",3055,"MOONEE VALE",14866,0.16021881,55541,0.170344731,0.118844386,0.384350021
"138",3055,"MORELAND WEST",14866,0.16021881,55541,0.170344731,0.118844386,0.384350021
"139",3056,"BRUNSWICK",14870,0.16026192,55835,0.171246431,0.118901482,0.388472865
"140",3056,"BRUNSWICK LOWER",14870,0.16026192,55835,0.171246431,0.118901482,0.388472865
"141",3056,"BRUNSWICK NORTH",14870,0.16026192,55835,0.171246431,0.118901482,0.388472865
"142",3057,"BRUNSWICK EAST",15206,0.163883171,57065,0.175018852,0.123697508,0.405721498
"143",3057,"LYGON STREET NORTH",15206,0.163883171,57065,0.175018852,0.123697508,0.405721498
"144",3057,"SUMNER",15206,0.163883171,57065,0.175018852,0.123697508,0.405721498
"145",3058,"BATMAN",13637,0.146973221,54493,0.167130506,0.101301779,0.369653625
"146",3058,"COBURG",13637,0.146973221,54493,0.167130506,0.101301779,0.369653625
"147",3058,"COBURG NORTH",13637,0.146973221,54493,0.167130506,0.101301779,0.369653625
"148",3058,"MERLYNSTON",13637,0.146973221,54493,0.167130506,0.101301779,0.369653625
"149",3058,"MORELAND",13637,0.146973221,54493,0.167130506,0.101301779,0.369653625
"150",3059,"GREENVALE",15102,0.162762308,54475,0.1670753,0.122213023,0.369401206
"151",3060,"FAWKNER",10524,0.11342276,47095,0.144440775,0.056867167,0.26590941
"152",3060,"FAWKNER EAST",10524,0.11342276,47095,0.144440775,0.056867167,0.26590941
"153",3060,"FAWKNER NORTH",10524,0.11342276,47095,0.144440775,0.056867167,0.26590941
"154",3061,"CAMPBELLFIELD",11539,0.124361957,43170,0.132402766,0.071355163,0.210868041
"155",3062,"SOMERTON",23184,0.249866332,52738,0.161747905,0.237574581,0.345042771
"156",3063,"OAKLANDS JUNCTION",16698,0.179963251,61406,0.188332737,0.144994148,0.46659655
"157",3063,"YUROKE",16698,0.179963251,61406,0.188332737,0.144994148,0.46659655
"158",3064,"CRAIGIEBURN",10419,0.112291119,49203,0.15090603,0.055368409,0.295470481
"159",3064,"DONNYBROOK",10419,0.112291119,49203,0.15090603,0.055368409,0.295470481
"160",3064,"KALKALLO",10419,0.112291119,49203,0.15090603,0.055368409,0.295470481
"161",3064,"MICKLEHAM",10419,0.112291119,49203,0.15090603,0.055368409,0.295470481
"162",3064,"ROXBURGH PARK",10419,0.112291119,49203,0.15090603,0.055368409,0.295470481
"163",3065,"FITZROY",21996,0.237062622,63186,0.193792012,0.220617203,0.491557986
"164",3066,"COLLINGWOOD",17676,0.190503678,57849,0.177423387,0.15895401,0.416715748
"165",3066,"COLLINGWOOD NORTH",17676,0.190503678,57849,0.177423387,0.15895401,0.416715748
"166",3067,"ABBOTSFORD",17889,0.192799293,59692,0.183075884,0.161994348,0.442560651
"167",3068,"CLIFTON HILL",23594,0.25428512,67653,0.20749234,0.243426875,0.554199972
"168",3068,"FITZROY NORTH",23594,0.25428512,67653,0.20749234,0.243426875,0.554199972
"169",3070,"NORTHCOTE",18602,0.200483674,62887,0.192874977,0.172171629,0.487365026
"170",3070,"NORTHCOTE SOUTH",18602,0.200483674,62887,0.192874977,0.172171629,0.487365026
"171",3071,"THORNBURY",15282,0.164702264,56492,0.173261456,0.124782323,0.397686159
"172",3072,"GILBERTON",12879,0.138803851,52329,0.160493499,0.090482172,0.33930725
"173",3072,"NORTHLAND CENTRE",12879,0.138803851,52329,0.160493499,0.090482172,0.33930725
"174",3072,"PRESTON",12879,0.138803851,52329,0.160493499,0.090482172,0.33930725
"175",3072,"PRESTON LOWER",12879,0.138803851,52329,0.160493499,0.090482172,0.33930725
"176",3072,"PRESTON SOUTH",12879,0.138803851,52329,0.160493499,0.090482172,0.33930725
"177",3072,"PRESTON WEST",12879,0.138803851,52329,0.160493499,0.090482172,0.33930725
"178",3072,"REGENT WEST",12879,0.138803851,52329,0.160493499,0.090482172,0.33930725
"179",3072,"SYLVESTER",12879,0.138803851,52329,0.160493499,0.090482172,0.33930725
"180",3073,"KEON PARK",11112,0.11975995,48494,0.14873152,0.065260213,0.285527976
"181",3073,"RESERVOIR",11112,0.11975995,48494,0.14873152,0.065260213,0.285527976
"182",3073,"RESERVOIR EAST",11112,0.11975995,48494,0.14873152,0.065260213,0.285527976
"183",3073,"RESERVOIR NORTH",11112,0.11975995,48494,0.14873152,0.065260213,0.285527976
"184",3073,"RESERVOIR SOUTH",11112,0.11975995,48494,0.14873152,0.065260213,0.285527976
"185",3074,"THOMASTOWN",9304,0.10027417,44064,0.135144672,0.039453025,0.223404852
"186",3075,"LALOR",9316,0.1004035,45532,0.139647041,0.039624311,0.243991025
"187",3075,"LALOR PLAZA",9316,0.1004035,45532,0.139647041,0.039624311,0.243991025
"188",3076,"EPPING",10217,0.110114058,48190,0.14779915,0.052485084,0.2812649
"189",3076,"EPPING DC",10217,0.110114058,48190,0.14779915,0.052485084,0.2812649
"190",3078,"ALPHINGTON",21793,0.234874783,65050,0.199508917,0.217719604,0.517697378
"191",3078,"FAIRFIELD",21793,0.234874783,65050,0.199508917,0.217719604,0.517697378
"192",3079,"IVANHOE",28293,0.304928749,70829,0.21723316,0.310499872,0.598737905
"193",3079,"IVANHOE EAST",28293,0.304928749,70829,0.21723316,0.310499872,0.598737905
"194",3079,"IVANHOE NORTH",28293,0.304928749,70829,0.21723316,0.310499872,0.598737905
"195",3081,"BELLFIELD",11170,0.120385047,49212,0.150933633,0.066088098,0.295596691
"196",3081,"HEIDELBERG HEIGHTS",11170,0.120385047,49212,0.150933633,0.066088098,0.295596691
"197",3081,"HEIDELBERG RGH",11170,0.120385047,49212,0.150933633,0.066088098,0.295596691
"198",3081,"HEIDELBERG WEST",11170,0.120385047,49212,0.150933633,0.066088098,0.295596691
"199",3082,"MILL PARK",11052,0.119113298,49780,0.152675694,0.06440378,0.303561913
"200",3083,"BUNDOORA",12188,0.131356576,49287,0.151163658,0.080618916,0.296648436
"201",3083,"KINGSBURY",12188,0.131356576,49287,0.151163658,0.080618916,0.296648436
"202",3083,"LA TROBE UNIVERSITY",12188,0.131356576,49287,0.151163658,0.080618916,0.296648436
"203",3084,"BANYULE",20203,0.217738505,63691,0.195340852,0.195024123,0.498639742
"204",3084,"EAGLEMONT",20203,0.217738505,63691,0.195340852,0.195024123,0.498639742
"205",3084,"HEIDELBERG",20203,0.217738505,63691,0.195340852,0.195024123,0.498639742
"206",3084,"ROSANNA",20203,0.217738505,63691,0.195340852,0.195024123,0.498639742
"207",3084,"VIEWBANK",20203,0.217738505,63691,0.195340852,0.195024123,0.498639742
"208",3085,"MACLEOD",16069,0.173184182,60555,0.185722713,0.136015873,0.45466274
"209",3085,"MACLEOD WEST",16069,0.173184182,60555,0.185722713,0.136015873,0.45466274
"210",3085,"YALLAMBIE",16069,0.173184182,60555,0.185722713,0.136015873,0.45466274
"211",3086,"LA TROBE UNIVERSITY",NA,NA,NA,NA,NA,NA
"212",3087,"WATSONIA",13256,0.142866981,56350,0.172825941,0.095863427,0.395694853
"213",3087,"WATSONIA NORTH",13256,0.142866981,56350,0.172825941,0.095863427,0.395694853
"214",3088,"BRIAR HILL",14492,0.156188012,57597,0.176650501,0.113505952,0.413181882
"215",3088,"GREENSBOROUGH",14492,0.156188012,57597,0.176650501,0.113505952,0.413181882
"216",3088,"SAINT HELENA",14492,0.156188012,57597,0.176650501,0.113505952,0.413181882
"217",3088,"ST HELENA",14492,0.156188012,57597,0.176650501,0.113505952,0.413181882
"218",3089,"DIAMOND CREEK",15646,0.168625286,58492,0.179395474,0.129978018,0.425732716
"219",3090,"PLENTY",25220,0.271809389,65915,0.202161879,0.266636216,0.529827514
"220",3091,"YARRAMBAT",28087,0.302708577,56067,0.171957977,0.307559451,0.391726266
"221",3093,"LOWER PLENTY",25573,0.275613859,64124,0.196668867,0.271674898,0.504711822
"222",3094,"MONTMORENCY",14650,0.157890863,58089,0.178159469,0.115761226,0.420081335
"223",3095,"ELTHAM",18927,0.203986372,62009,0.190182143,0.176810643,0.475052587
"224",3095,"ELTHAM NORTH",18927,0.203986372,62009,0.190182143,0.176810643,0.475052587
"225",3095,"RESEARCH",18927,0.203986372,62009,0.190182143,0.176810643,0.475052587
"226",3096,"WATTLE GLEN",15462,0.16664222,51993,0.159462984,0.127351623,0.334595428
"227",3097,"BEND OF ISLANDS",23688,0.255298208,65162,0.199852422,0.24476862,0.519267985
"228",3097,"KANGAROO GROUND",23688,0.255298208,65162,0.199852422,0.24476862,0.519267985
"229",3097,"WATSONS CREEK",23688,0.255298208,65162,0.199852422,0.24476862,0.519267985
"230",3099,"ARTHURS CREEK",15982,0.172246537,53876,0.165238161,0.134774044,0.361001262
"231",3099,"COTTLES BRIDGE",15982,0.172246537,53876,0.165238161,0.134774044,0.361001262
"232",3099,"HURSTBRIDGE",15982,0.172246537,53876,0.165238161,0.134774044,0.361001262
"233",3099,"NUTFIELD",15982,0.172246537,53876,0.165238161,0.134774044,0.361001262
"234",3099,"STRATHEWEN",15982,0.172246537,53876,0.165238161,0.134774044,0.361001262
"235",3101,"COTHAM",40110,0.43228686,75920,0.232847301,0.479174398,0.670130416
"236",3101,"KEW",40110,0.43228686,75920,0.232847301,0.479174398,0.670130416
"237",3102,"KEW EAST",26556,0.286208174,71402,0.218990556,0.285706129,0.606773244
"238",3103,"BALWYN",33969,0.366102028,70912,0.217487722,0.391518456,0.599901837
"239",3103,"BALWYN EAST",33969,0.366102028,70912,0.217487722,0.391518456,0.599901837
"240",3103,"DEEPDENE",33969,0.366102028,70912,0.217487722,0.391518456,0.599901837
"241",3103,"DEEPDENE DC",33969,0.366102028,70912,0.217487722,0.391518456,0.599901837
"242",3103,"STRADBROKE PARK",33969,0.366102028,70912,0.217487722,0.391518456,0.599901837
"243",3104,"BALWYN NORTH",24878,0.268123473,65778,0.201741699,0.261754546,0.527906324
"244",3104,"GREYTHORN",24878,0.268123473,65778,0.201741699,0.261754546,0.527906324
"245",3105,"BULLEEN",17950,0.193456722,59447,0.182324467,0.162865055,0.439124947
"246",3105,"BULLEEN SOUTH",17950,0.193456722,59447,0.182324467,0.162865055,0.439124947
"247",3106,"TEMPLESTOWE",25025,0.26970777,62148,0.190608457,0.263852808,0.477001823
"248",3107,"TEMPLESTOWE LOWER",17350,0.186990202,58869,0.180551736,0.154300722,0.431019492
"249",3108,"DONCASTER",16127,0.173809279,53870,0.165219759,0.136843758,0.360917122
"250",3109,"DONCASTER EAST",15835,0.17066224,56006,0.17177089,0.132675783,0.390870846
"251",3109,"DONCASTER HEIGHTS",15835,0.17066224,56006,0.17177089,0.132675783,0.390870846
"252",3109,"THE PINES",15835,0.17066224,56006,0.17177089,0.132675783,0.390870846
"253",3109,"TUNSTALL SQUARE PO",15835,0.17066224,56006,0.17177089,0.132675783,0.390870846
"254",3111,"DONVALE",22044,0.237579944,61948,0.189995056,0.221302349,0.474197167
"255",3113,"NORTH WARRANDYTE",22477,0.242246616,63925,0.196058532,0.227482943,0.501921189
"256",3113,"WARRANDYTE",22477,0.242246616,63925,0.196058532,0.227482943,0.501921189
"257",3114,"PARK ORCHARDS",33787,0.364140517,75066,0.230228076,0.388920609,0.658154537
"258",3115,"WONGA PARK",28014,0.301921817,62896,0.19290258,0.306517457,0.487491235
